eid,raw_eid,highway
39460,30168412,primary
39461,30168412,primary
153124,1395470495,primary
39468,30168413,primary
39469,30168413,primary
39470,30168413,primary
39471,30168413,primary
39472,30168413,primary
39473,30168413,primary
39482,30168414,service
39483,30168414,service
85918,271349129,service
39484,30168414,service
39485,30168414,service
39486,30168414,service
39487,30168414,service
39488,30168414,service
84772,252904575,service
39489,30168414,service
133672,1009382157,service
39491,30168418,residential
39492,30168418,residential
39493,30168418,residential
39494,30168418,residential
39495,30168418,residential
39496,30168418,residential
39497,30168420,service
66635,109626164,service
73378,160058153,service
39498,30168420,service
39499,30168420,service
39500,30168420,service
39501,30168420,service
125529,845793689,service
39502,30168422,service
73407,160058180,service
39503,30168422,service
39504,30168422,service
125511,845793687,service
39506,30168427,service
86106,278509342,service
39509,30168440,service
39510,30168440,service
75933,174802353,service
39512,30168442,residential
39513,30168442,residential
39514,30168442,residential
44680,34874407,residential
39515,30168442,residential
39516,30168442,residential
39517,30168442,residential
39518,30168442,residential
39519,30172143,residential
113303,670749072,residential
113309,670749411,secondary
39520,30172143,residential
39521,30172143,residential
39522,30172143,residential
39523,30172143,residential
44739,34932406,residential
39524,30172143,residential
39525,30172143,residential
39530,30172144,residential
39531,30172144,residential
39533,30172145,residential
39534,30172145,residential
39553,30172146,service
39691,30172374,service
39554,30172146,service
39556,30172146,service
109414,618098840,service
39557,30172146,service
76160,177983287,service
39558,30172146,service
39559,30172146,service
39590,30172149,service
39560,30172146,service
109251,618087666,service
39561,30172146,service
110246,627604105,service
39562,30172146,service
109231,618087663,service
39563,30172146,service
39577,30172147,service
39564,30172146,service
109199,618087661,service
39565,30172146,service
46040,37103660,service
39566,30172146,service
39567,30172146,service
39568,30172146,service
39569,30172146,service
39570,30172146,service
76096,177236341,service
39575,30172147,service
76082,177236341,service
39576,30172147,service
109131,618087660,service
39578,30172147,service
109022,618087656,service
39637,30172151,service
46439,37105665,service
39586,30172149,service
39587,30172149,service
39588,30172149,service
39633,30172151,service
39589,30172149,service
109018,618087656,service
39591,30172149,service
109399,618093792,service
39592,30172149,service
76078,177236341,service
