node_id,longitude,latitude
204,2.3592626,48.8261508
205,2.3691214,48.8216292
206,2.3689856,48.8216731
207,2.3689342,48.8217014
208,2.3685026,48.8219205
209,2.3684556,48.8219444
210,2.3678625,48.8222465
211,2.3673827,48.8224909
212,2.3672759,48.8225453
213,2.3670649,48.8226528
214,2.3558099,48.8318326
215,2.3558242,48.8318583
216,2.3559369,48.8320269
217,2.3560169,48.8321453
218,2.3560637,48.8322167
219,2.356594,48.8397034
220,2.3566638,48.8397229
221,2.3579434,48.8399594
222,2.3581254,48.8399885
223,2.37163,48.8275103
224,2.3716971,48.8274674
225,2.3719261,48.8273164
226,2.3721003,48.8272036
227,2.3724152,48.8269987
228,2.3724907,48.82695
229,2.373104,48.8265509
230,2.3731423,48.8265252
231,2.3731947,48.8264912
232,2.3734455,48.8263273
233,2.3626607,48.8252916
234,2.3626078,48.8253176
235,2.3620083,48.8256122
236,2.3581678,48.8313954
237,2.3582287,48.8313046
238,2.3582512,48.8312791
239,2.3589051,48.8305122
240,2.3589941,48.8304254
241,2.359283,48.8301635
242,2.3593384,48.8301116
243,2.3595387,48.8299392
244,2.3595685,48.8299132
245,2.3596045,48.8298839
246,2.3597867,48.8297193
247,2.3598266,48.8296874
248,2.3599278,48.8296023
249,2.3601118,48.8294625
250,2.3645499,48.8277737
251,2.3644168,48.8278235
252,2.3608558,48.8291863
253,2.3607552,48.8292185
254,2.3606931,48.8292465
255,2.3576716,48.8290196
256,2.3577428,48.829046
257,2.3577586,48.8290553
258,2.3578051,48.8290764
259,2.3580209,48.8291746
260,2.3582319,48.8292773
261,2.3585679,48.8294376
262,2.3591968,48.8297091
263,2.3592977,48.829755
264,2.360065,48.8293989
265,2.3600267,48.8293778
266,2.359731,48.8292364
267,2.3585419,48.828667
268,2.3585105,48.828652
269,2.3582344,48.8285261
270,2.3581617,48.8284917
271,2.3581077,48.8284715
272,2.3605632,48.8290921
273,2.3605927,48.8291606
274,2.3610141,48.8256709
275,2.3610671,48.8257137
276,2.3614738,48.8260457
277,2.3614852,48.8260604
278,2.3614901,48.8260795
279,2.3614918,48.8261344
280,2.3614929,48.8262752
281,2.3614982,48.8263456
282,2.3635598,48.8266251
283,2.3635714,48.8265453
284,2.3635461,48.8264925
285,2.3633599,48.8262497
286,2.3621958,48.830249
287,2.3621472,48.8302793
288,2.3619317,48.8304092
289,2.3615516,48.8306516
290,2.3612873,48.8308671
291,2.3611254,48.8310148
292,2.3609609,48.8311494
293,2.3608069,48.8312792
294,2.3600449,48.8319327
295,2.3599732,48.8319952
296,2.3621891,48.8327307
297,2.3622642,48.8326632
298,2.3626819,48.8323508
299,2.3634307,48.8317901
300,2.3635269,48.8317213
301,2.3635943,48.831668
302,2.3636711,48.8315837
303,2.364868,48.8323844
304,2.3647778,48.832324
305,2.3637874,48.8316614
306,2.3637337,48.8316239
307,2.3654241,48.8294621
308,2.3654254,48.8294776
309,2.3659549,48.8304592
310,2.3660044,48.8305397
311,2.3672642,48.8283166
312,2.3673767,48.8283108
313,2.3675736,48.8282825
314,2.3680426,48.8282047
315,2.3686933,48.8280968
316,2.3689416,48.8280556
317,2.3689926,48.8280471
318,2.3693208,48.8279926
319,2.3693805,48.8279827
320,2.3711914,48.8277894
321,2.3708438,48.8280188
322,2.3707111,48.8281064
323,2.3704628,48.8282702
324,2.3699864,48.8285846
325,2.3699127,48.8286332
326,2.3743874,48.8310482
327,2.3742909,48.830999
328,2.3737446,48.8307193
329,2.3727579,48.830214
330,2.372706,48.8301873
331,2.3725145,48.8300887
332,2.3721389,48.8298952
333,2.3720115,48.8298296
334,2.3719639,48.8298051
335,2.3718578,48.8297505
336,2.371798,48.8297197
337,2.3736544,48.8375695
338,2.3735072,48.8375122
339,2.3543524,48.8311993
340,2.3543389,48.8312917
341,2.3543631,48.8316497
342,2.3543662,48.8317002
343,2.3544011,48.8317685
344,2.3544534,48.8318168
345,2.3548912,48.832126
346,2.3549124,48.832141
347,2.3550299,48.8322202
348,2.3555283,48.8328501
349,2.3548372,48.8328511
350,2.3547992,48.8328512
351,2.3547697,48.8328512
352,2.3546065,48.8328495
353,2.3555425,48.833208
354,2.35554,48.8331544
355,2.3555297,48.8329187
356,2.3567612,48.8331727
357,2.3566653,48.8331792
358,2.3565619,48.8331861
359,2.3593046,48.8331875
360,2.3594056,48.8331496
361,2.3597456,48.8330221
362,2.3597643,48.8330208
363,2.3597829,48.8330251
364,2.3597995,48.8330314
365,2.3598126,48.8330427
366,2.3603,48.8337148
367,2.3603427,48.8337716
368,2.3749213,48.825369
369,2.3748611,48.8253292
370,2.3748503,48.8253216
371,2.3748236,48.8252994
372,2.3748082,48.8252739
373,2.3748091,48.8252387
374,2.374876,48.8251036
375,2.3750625,48.8247267
376,2.3755105,48.8242139
377,2.3755666,48.82416
378,2.3678681,48.8244825
379,2.3679324,48.8245054
380,2.3687666,48.8248297
381,2.3692856,48.824997
382,2.3697047,48.8251333
